Project Install Year,Contractor,County,City,Project Count by City,Project Cost,"Incentive, Dollars",Total Nameplate KW,Expected KWh Annual Production,Solicitation,Location 1
2010,Other,Allegany,Other,1,34440.00,8050.00,4.60,5399.66,PON 2112,"Other, NY
"
2010,Other,Cayuga,Other,1,39000.00,8820.00,5.04,5916.15,PON 2112,"Other, NY
"
2010,Other,Columbia,Other,1,20198.00,4427.50,2.53,2969.82,PON 2112,"Other, NY
"
2010,Other,Dutchess,Other,4,163678.00,45080.00,25.76,30238.11,PON 2112,"Other, NY
"
2010,Other,Erie,Other,2,70272.00,21070.00,12.24,14367.80,PON 2112,"Other, NY
"
2010,Other,Essex,Other,2,154240.40,42665.00,24.38,28618.22,PON 2112,"Other, NY
"
2010,Other,Franklin,Other,1,54325.00,12250.00,8.05,9449.41,PON 2112,"Other, NY
"
2010,Other,Genesee,Other,1,39888.00,10867.50,6.21,7289.55,PON 2112,"Other, NY
"
2010,Other,Herkimer,Other,1,34199.86,11970.00,6.84,8029.07,PON 2112,"Other, NY
"
2010,Other,Monroe,Other,2,58386.00,15487.50,8.85,10388.49,PON 2112,"Other, NY
"
2010,Other,Onondaga,Other,3,90860.00,26232.50,14.99,17595.86,PON 2112,"Other, NY
"
2010,Other,Orange,Other,1,32862.90,9450.00,5.40,6338.74,PON 2112,"Other, NY
"
2010,Other,Queens,Other,1,44000.00,4309.20,4.32,5070.99,PON 2112,"Other, NY
"
2010,Other,Rensselaer,Other,1,17772.00,4777.50,2.73,3204.58,PON 2112,"Other, NY
"
2010,Other,Schenectady,Other,2,56643.00,14411.00,9.05,10617.38,PON 2112,"Other, NY
"
2010,Other,Ulster,Other,5,192803.00,49306.50,28.58,33545.99,PON 2112,"Other, NY
"
2010,Other,Washington,Other,1,241343.63,87500.00,50.49,59267.18,PON 2112,"Other, NY
"
2010,Other,Wyoming,Other,1,21933.23,5512.50,3.15,3697.60,PON 2112,"Other, NY
"
2011,Other,Kings,Other,7,941467.00,261114.00,154.95,181878.30,PON 2112,"Other, NY
"
2011,Other,Albany,Other,15,2295980.56,526697.00,321.49,377368.43,PON 2112,"Other, NY
"
2011,Other,Allegany,Other,2,66720.23,21026.25,12.02,14103.68,PON 2112,"Other, NY
"
2011,Other,Bronx,Other,2,282675.00,93485.00,53.42,62706.54,PON 2112,"Other, NY
"
2011,Other,Broome,Other,9,310039.00,90011.00,52.05,61092.50,PON 2112,"Other, NY
"
2011,Other,Cattaraugus,Other,2,69648.00,21962.50,12.60,14790.38,PON 2112,"Other, NY
"
2011,Other,Cayuga,Other,11,404539.09,122275.12,72.09,84626.84,PON 2112,"Other, NY
"
2011,Other,Chautauqua,Other,12,338877.00,108162.50,62.20,73012.87,PON 2112,"Other, NY
"
2011,Other,Chemung,Other,6,179954.00,53461.75,31.11,36518.16,PON 2112,"Other, NY
"
2011,Other,Chenango,Other,2,77956.84,20090.00,11.62,13640.02,PON 2112,"Other, NY
"
2011,Other,Clinton,Other,6,240217.00,67522.00,39.85,46777.53,PON 2112,"Other, NY
"
2011,Other,Columbia,Other,14,667022.28,157798.00,97.44,114373.11,PON 2112,"Other, NY
"
2011,Other,Cortland,Other,2,101139.90,25795.00,14.79,17361.09,PON 2112,"Other, NY
"
2011,Other,Delaware,Other,3,153252.16,36750.00,22.63,26568.70,PON 2112,"Other, NY
"
2011,Other,Dutchess,Other,21,1355496.95,373587.35,221.32,259788.42,PON 2112,"Other, NY
"
2011,Other,Erie,Other,31,1270295.08,384277.75,220.08,258323.46,PON 2112,"Other, NY
"
2011,Other,Essex,Other,5,182637.92,51590.00,29.48,34604.80,PON 2112,"Other, NY
"
2011,Other,Franklin,Other,1,26930.00,8225.00,4.70,5517.05,PON 2112,"Other, NY
"
2011,Other,Fulton,Other,2,54080.00,16511.00,9.44,11075.18,PON 2112,"Other, NY
"
2011,Other,Genesee,Other,4,142385.00,46812.50,26.75,31400.23,PON 2112,"Other, NY
"
2011,Other,Greene,Other,5,176174.13,48256.00,27.63,32427.33,PON 2112,"Other, NY
"
2011,Other,Herkimer,Other,2,161185.00,54197.50,30.97,36353.82,PON 2112,"Other, NY
"
2011,Other,Jefferson,Other,5,223820.56,52052.00,32.99,38717.94,PON 2112,"Other, NY
"
2011,Other,Lewis,Other,1,47090.00,10290.00,5.88,6902.18,PON 2112,"Other, NY
"
2011,Other,Livingston,Other,6,204994.68,51502.50,30.62,35942.98,PON 2112,"Other, NY
"
2011,Other,Madison,Other,4,204337.00,56087.50,32.05,37621.58,PON 2112,"Other, NY
"
2011,Other,Monroe,Other,22,1127369.26,249042.75,205.15,240806.23,PON 2112,"Other, NY
"
2011,Other,Montgomery,Other,4,121357.00,34255.75,19.58,22977.92,PON 2112,"Other, NY
"
